"","site","dat"
"410","42007083694","fia_small"
"411","42007084375","fia_small"
"412","42007084443","fia_small"
"413","42007085084","fia_small"
"414","42007087107","fia_small"
"415","42007088669","fia_small"
"416","42007089871","fia_small"
"417","42007090136","fia_small"
"418","42007090722","fia_small"
"419","42007090823","fia_small"
"420","42007090874","fia_small"
"421","42007091123","fia_small"
"422","42007091361","fia_small"
"423","42017081575","fia_small"
"424","42017082091","fia_small"
"425","42017083336","fia_small"
"426","42017086709","fia_small"
"427","42017090169","fia_small"
"428","42025081729","fia_small"
"429","42025085808","fia_small"
"430","42025086089","fia_small"
"431","42025087413","fia_small"
"432","51001000032","fia_small"
"433","51001000079","fia_small"
"434","51001000080","fia_small"
"435","51001000102","fia_small"
"436","51041000046","fia_small"
"437","51069000020","fia_small"
"438","51069000058","fia_small"
"439","51077000019","fia_small"
"440","51079000060","fia_small"
"441","51085000008","fia_small"
"442","51085000051","fia_small"
"443","51095000005","fia_small"
"444","51095000010","fia_small"
"445","51095000042","fia_small"
"446","51095000055","fia_small"
"447","51107000018","fia_small"
"448","51117000032","fia_small"
"449","51117000042","fia_small"
"450","52021000010","fia_small"
"451","52021000019","fia_small"
"452","52021000051","fia_small"
"453","52031000051","fia_small"
"454","52035000009","fia_small"
"455","52055000039","fia_small"
"456","52067000043","fia_small"
"457","52075000032","fia_small"
"458","52075000045","fia_small"
"459","52093000055","fia_small"
"460","52111000041","fia_small"
"461","52123000073","fia_small"
"462","52147000009","fia_small"
"463","52147000013","fia_small"
"464","52147000031","fia_small"
"465","52147000045","fia_small"
"466","52147000060","fia_small"
"467","52147000063","fia_small"
"468","53003000030","fia_small"
"469","53003000038","fia_small"
"470","53003000052","fia_small"
"471","53003000068","fia_small"
"472","53011000002","fia_small"
"473","53013000005","fia_small"
"474","53013000036","fia_small"
"475","53013000053","fia_small"
"476","53013000059","fia_small"
"477","53013000068","fia_small"
"478","53019000043","fia_small"
"479","53019000049","fia_small"
"480","53019000064","fia_small"
"481","53019000071","fia_small"
"482","53019000078","fia_small"
"483","53025000004","fia_small"
"484","53025000011","fia_small"
"485","53025000033","fia_small"
"486","53025000040","fia_small"
"487","53027000012","fia_small"
"488","53027000019","fia_small"
"489","53027000021","fia_small"
"490","53027000023","fia_small"
"491","53027000057","fia_small"
"492","53027000077","fia_small"
"493","53027000079","fia_small"
"494","53027000082","fia_small"
"495","53039000006","fia_small"
"496","53039000008","fia_small"
"497","53039000028","fia_small"
"498","53043000092","fia_small"
"499","53053000010","fia_small"
"500","53053000025","fia_small"
"501","53057000005","fia_small"
"502","53057000039","fia_small"
"503","53057000055","fia_small"
"504","53059000005","fia_small"
"505","53059000015","fia_small"
"506","53061000022","fia_small"
"507","53061000044","fia_small"
"508","53061000053","fia_small"
"509","53061000075","fia_small"
"510","53073000014","fia_small"
"511","53073000022","fia_small"
"512","53081000008","fia_small"
"513","53081000040","fia_small"
"514","53091000001","fia_small"
"515","53091000014","fia_small"
"516","53091000036","fia_small"
"517","53099000012","fia_small"
"518","53099000016","fia_small"
"519","53099000029","fia_small"
"520","53099000039","fia_small"
"521","53099000042","fia_small"
"522","53099000066","fia_small"
"523","53103000012","fia_small"
"524","53103000015","fia_small"
"525","53103000018","fia_small"
"526","53103000031","fia_small"
"527","53103000044","fia_small"
"528","53103000048","fia_small"
"529","53109000005","fia_small"
"530","53109000017","fia_small"
"531","53109000020","fia_small"
"532","53109000050","fia_small"
"533","53133000065","fia_small"
"534","53139000010","fia_small"
"535","53139000023","fia_small"
"536","53139000026","fia_small"
"537","53139000030","fia_small"
"538","53139000031","fia_small"
"539","53139000053","fia_small"
"540","53139000062","fia_small"
"541","53139000066","fia_small"
"542","53139000072","fia_small"
"543","53139000077","fia_small"
"544","53139000127","fia_small"
"545","54051000033","fia_small"
"546","54051000036","fia_small"
"547","54051000052","fia_small"
"548","54051000063","fia_small"
"549","54083000002","fia_small"
"550","54083000014","fia_small"
"551","54083000017","fia_small"
"552","54083000050","fia_small"
"553","54083000065","fia_small"
"554","54083000068","fia_small"
"555","54083000074","fia_small"
"556","54083000075","fia_small"
"557","54097000011","fia_small"
"558","54097000041","fia_small"
"559","54097000042","fia_small"
"560","54105000031","fia_small"
"561","54105000062","fia_small"
"562","54113000047","fia_small"
"563","54113000061","fia_small"
"564","54113000088","fia_small"
"565","54119000005","fia_small"
"566","54119000021","fia_small"
"567","54119000052","fia_small"
"568","54119000086","fia_small"
"569","54125000042","fia_small"
"570","54125000048","fia_small"
"571","54125000055","fia_small"
"572","54125000068","fia_small"
"573","54127000001","fia_small"
"574","54127000007","fia_small"
"575","54127000012","fia_small"
"576","54127000041","fia_small"
"577","54127000043","fia_small"
"578","54127000045","fia_small"
"579","54127000054","fia_small"
"580","54127000056","fia_small"
"581","54127000068","fia_small"
"582","54127000073","fia_small"
"583","54127000085","fia_small"
"584","54127000228","fia_small"
"585","54131000029","fia_small"
"586","54131000047","fia_small"
"587","54131000053","fia_small"
"588","54149000012","fia_small"
"589","54149000023","fia_small"
"590","54149000027","fia_small"
"591","54149000043","fia_small"
"592","54149000047","fia_small"
"593","54149000048","fia_small"
"594","54149000058","fia_small"
"595","54149000061","fia_small"
"596","54149000080","fia_small"
"597","54149000087","fia_small"
"598","54149000089","fia_small"
"599","54149000102","fia_small"
"600","55005000014","fia_small"
"601","55005000030","fia_small"
"602","55007000014","fia_small"
"603","55007000015","fia_small"
"604","55007000032","fia_small"
"605","55007000047","fia_small"
"606","55007000058","fia_small"
"607","55007000074","fia_small"
"608","55007000081","fia_small"
"609","55009000001","fia_small"
"610","55009000033","fia_small"
"611","55009000043","fia_small"
"612","55015000019","fia_small"
"613","55015000029","fia_small"
"614","55015000038","fia_small"
"615","55015000045","fia_small"
"616","55015000051","fia_small"
"617","55015000066","fia_small"
"618","55023000032","fia_small"
"619","55023000044","fia_small"
"620","55023000073","fia_small"
"621","55029000004","fia_small"
"622","55029000020","fia_small"
"623","55029000040","fia_small"
"624","55029000050","fia_small"
"625","55029000063","fia_small"
"626","55033000013","fia_small"
"627","55033000015","fia_small"
"628","55033000021","fia_small"
"629","55033000023","fia_small"
"630","55033000045","fia_small"
"631","55033000047","fia_small"
"632","55033000052","fia_small"
"633","55045000007","fia_small"
"634","55045000025","fia_small"
"635","55045000035","fia_small"
"636","55045000041","fia_small"
"637","55045000048","fia_small"
"638","55047000003","fia_small"
"639","55047000009","fia_small"
"640","55047000025","fia_small"
"641","55047000039","fia_small"
"642","55047000059","fia_small"
"643","55047000102","fia_small"
"644","55049000004","fia_small"
"645","55049000009","fia_small"
"646","55049000015","fia_small"
"647","55049000023","fia_small"
"648","55049000052","fia_small"
"649","55049000065","fia_small"
"650","55063000005","fia_small"
"651","55063000033","fia_small"
"652","55063000038","fia_small"
"653","55063000072","fia_small"
"654","55065000054","fia_small"
"655","55065000057","fia_small"
"656","55071000006","fia_small"
"657","55071000054","fia_small"
"658","55071000070","fia_small"
"659","55071000073","fia_small"
"660","55087000004","fia_small"
"661","55087000010","fia_small"
"662","55087000022","fia_small"
"663","55087000037","fia_small"
"664","55087000075","fia_small"
"665","55089000020","fia_small"
"666","55089000022","fia_small"
"667","55089000032","fia_small"
"668","55089000045","fia_small"
"669","55089000057","fia_small"
"670","55089000060","fia_small"
"671","55089000067","fia_small"
"672","55089000068","fia_small"
"673","55101000008","fia_small"
"674","55101000012","fia_small"
"675","55101000029","fia_small"
"676","55101000030","fia_small"
"677","55101000032","fia_small"
"678","55101000046","fia_small"
