"","s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
"37",19,454,"sampled","portal_plants","1990_winter",TRUE,3999,0.760001393930039,0.7934310896486,0.867886772340985,0.139833416503906,0.0692295334777935
"38",38,1949,"sampled","portal_plants","1991_winter",TRUE,4000,0.850644894708258,0.873181222675274,0.908835606499439,0.106730759363776,0.040648842937847
"39",40,4785,"sampled","portal_plants","1994_winter",TRUE,4000,0.866130876263536,0.88636790556242,0.91615629475873,0.0974663531870428,0.0342625467574388
"40",45,12504,"sampled","portal_plants","1995_winter",TRUE,4000,0.879610740011139,0.897919240588463,0.924688773632605,0.0894141474728087,0.0291934604890313
"41",4,35,"sampled","portal_plants","1996_winter",TRUE,3847,0.572918868207803,0.541937174830072,0.785654835872411,0.189669129934272,0.124976643232565
"42",48,7768,"sampled","portal_plants","1997_winter",TRUE,4000,0.883429772138701,0.901746044885799,0.924854805540275,0.0895524909886715,0.0291843263734674
"43",40,4713,"sampled","portal_plants","1998_winter",TRUE,4000,0.865472518360979,0.888301944760096,0.916988358747927,0.0967640038192234,0.0339806502290466
"44",11,219,"sampled","portal_plants","1999_winter",TRUE,3998,0.691271060674308,0.725327544475823,0.841082598262681,0.160865821038373,0.0908343541233537
"45",3,13,"sampled","portal_plants","2000_winter",TRUE,105,-0.58110356603519,-1.29533170786589,0.768855915789932,0.198534798534799,0.136966228342539
"46",42,5135,"sampled","portal_plants","2001_winter",TRUE,3998,0.875546927083225,0.893829163310013,0.921953563168014,0.0929639600715645,0.0313679973364012
"47",18,2128,"sampled","portal_plants","2002_winter",TRUE,3996,0.79761347739348,0.819598706939746,0.883201079494671,0.126448817238291,0.0565037563099137
"48",22,4680,"sampled","portal_plants","2003_winter",TRUE,3999,0.811752262027795,0.8348816618805,0.89188222797293,0.119868428645623,0.0512928289291404
"49",59,5878,"sampled","portal_plants","2004_winter",TRUE,3999,0.886383800993982,0.908613754163718,0.93116835092139,0.0862775663293163,0.0273373325579392
"50",40,13102,"sampled","portal_plants","2005_winter",TRUE,4000,0.874927879458385,0.887722005578316,0.921477362352892,0.0927516409708442,0.031562056836137
"51",9,2596,"sampled","portal_plants","2006_winter",TRUE,3997,0.705643044265659,0.705782294153505,0.847417073384624,0.15673879832062,0.0877782569424778
"52",38,4067,"sampled","portal_plants","2007_winter",TRUE,3997,0.849497006226744,0.879392403407396,0.914593997890016,0.100072903214416,0.0366855538112285
"53",28,3791,"sampled","portal_plants","2008_winter",TRUE,3997,0.838317981514182,0.862057458301102,0.904602058381709,0.108781203417731,0.0424803552999063
"54",4,6,"sampled","portal_plants","2009_winter",TRUE,3,0.111111111111111,0.315146201698655,0.555555555555556,0.111111111111111,0.0610340160371172
"55",5,444,"sampled","portal_plants","2011_winter",TRUE,3999,0.666447597288453,0.616715973042962,0.8199146884309,0.179186688564033,0.114786828707196
"56",28,4372,"sampled","portal_plants","2012_winter",TRUE,4000,0.839225877637144,0.860407045518664,0.903144518474753,0.108817760750229,0.0424819355097339
"57",18,243,"sampled","portal_plants","2013_winter",TRUE,3999,0.724318167947231,0.76929661124716,0.856523706214032,0.149975765546325,0.0784960556667306
"58",34,2614,"sampled","portal_plants","2014_winter",TRUE,3999,0.853343542987206,0.874196423236634,0.910487907774061,0.105185726423955,0.0397019357776643
"59",43,1908,"sampled","portal_plants","2015_winter",TRUE,3998,0.859916365481752,0.878539047115842,0.914437035381058,0.103674740934409,0.0386535090763398
"60",26,265,"sampled","portal_plants","2016_winter",TRUE,3999,0.728171295982903,0.764464485534368,0.864788686918108,0.147526504267576,0.0777162971194537
"61",42,3062,"sampled","portal_plants","2017_winter",TRUE,4000,0.865344502561633,0.890013252806738,0.914656947209421,0.0994506858262574,0.0354035756419106
"62",26,1005,"sampled","portal_plants","2018_winter",TRUE,3998,0.807996254604239,0.839075612597448,0.888526172855877,0.123526688717493,0.0543222071507727
"63",41,6500,"sampled","portal_plants","2019_winter",TRUE,3999,0.866124792653592,0.888136099288852,0.917292141752721,0.0954157770211784,0.0332026567870972
"64",17,18019,"sampled","portal_plants","1983_summer",FALSE,3998,0.800566323265928,0.811138895013871,0.881361945722262,0.12565574368293,0.0557860085890848
"65",16,3949,"sampled","portal_plants","1984_summer",FALSE,3999,0.782692805956964,0.800096161278139,0.873527815070459,0.132321317857953,0.0620551120549462
"66",16,3217,"sampled","portal_plants","1985_summer",FALSE,3999,0.783109132056074,0.802389014182595,0.877050319680133,0.13254805774804,0.0616377981101526
"67",16,7310,"sampled","portal_plants","1986_summer",FALSE,4000,0.792115773659307,0.802649897758914,0.879180733185564,0.130320314637483,0.0594093397287631
"68",16,12069,"sampled","portal_plants","1988_summer",FALSE,3998,0.796797174350884,0.804462047884492,0.880332453796061,0.128107885245962,0.0581729041738044
"69",31,10745,"sampled","portal_plants","1991_summer",FALSE,4000,0.846851282646485,0.870141740797527,0.909324313107548,0.102829525360633,0.0379462597007623
"70",35,21386,"sampled","portal_plants","1993_summer",FALSE,4000,0.861930137719183,0.881295345149246,0.916958519125451,0.0953616033853923,0.0330704697049193
"71",18,822,"sampled","portal_plants","1994_summer",FALSE,3998,0.767583088728494,0.811722891508981,0.872693114133392,0.135259539745542,0.0640359616533771
"72",25,2399,"sampled","portal_plants","1995_summer",FALSE,3998,0.82735963956731,0.854315400804739,0.895760029191932,0.114687293625971,0.0464354264904953
"73",18,1348,"sampled","portal_plants","1996_summer",FALSE,3999,0.782931364261356,0.810628556264057,0.878263632053201,0.131753821244629,0.0614559406917313
"74",30,5520,"sampled","portal_plants","1997_summer",FALSE,3998,0.846975949358454,0.864999287022641,0.907400016654096,0.105358431027108,0.0397993588140873
"75",29,3731,"sampled","portal_plants","1998_summer",FALSE,4000,0.835442392928487,0.860037288545421,0.904455462841426,0.107937818279282,0.0421872104247327
"76",23,1084,"sampled","portal_plants","1999_summer",FALSE,3998,0.80615560299235,0.835240071626585,0.888727755181101,0.12260765991852,0.0533823690381121
"77",13,1051,"sampled","portal_plants","2000_summer",FALSE,3999,0.753178602285876,0.769801590428601,0.864777566254884,0.142212051585684,0.0715778718384574
"78",29,2531,"sampled","portal_plants","2001_summer",FALSE,3997,0.834114176731112,0.85988256860856,0.904855861313242,0.109119868348515,0.0434040091497747
"79",35,5029,"sampled","portal_plants","2002_summer",FALSE,3999,0.85909270464309,0.880522426269383,0.913826525883314,0.100165277947047,0.036115698343687
"80",4,3995,"sampled","portal_plants","2003_summer",FALSE,4000,0.657032948441715,0.532295114969786,0.819078651536403,0.183025406758448,0.12211631674308
"81",35,9565,"sampled","portal_plants","2004_summer",FALSE,3998,0.862899880608158,0.879892651494596,0.915707286070013,0.0980561373211436,0.0346754805678235
"82",32,12762,"sampled","portal_plants","2005_summer",FALSE,3998,0.856749846554314,0.872030463752143,0.911817021268286,0.100867703872309,0.0364609840570436
"83",34,6472,"sampled","portal_plants","2006_summer",FALSE,3997,0.858146231497473,0.878711933069968,0.91348373049561,0.100052944529163,0.0361290796662658
"84",35,8611,"sampled","portal_plants","2007_summer",FALSE,4000,0.857692485073821,0.877755184123235,0.915343818997668,0.0980904656834282,0.0352066295944259
"85",28,16033,"sampled","portal_plants","2008_summer",FALSE,3998,0.847642301261113,0.859521718270608,0.909302847233424,0.104807159395827,0.0396282470735106
"86",1,2,"sampled","portal_plants","2009_summer",FALSE,1,NA,NA,0,0,0
"87",27,1807,"sampled","portal_plants","2011_summer",FALSE,3997,0.821918809908291,0.849797009186471,0.895365086998745,0.116553519179229,0.0483088609884847
"88",4,1023,"sampled","portal_plants","2012_summer",FALSE,4000,0.659840374685167,0.568515814395744,0.820531978734125,0.183180840664712,0.122123757855808
"89",3,119,"sampled","portal_plants","2013_summer",FALSE,3996,0.657948775429328,0.518923757845882,0.835552286503138,0.18075428369546,0.122438575687172
"90",35,15389,"sampled","portal_plants","2014_summer",FALSE,3999,0.863271074352873,0.877139399265223,0.916172746166933,0.0970155788670996,0.034371874618402
"91",32,22814,"sampled","portal_plants","2015_summer",FALSE,4000,0.851391917906391,0.866769248725564,0.911813426520061,0.100229562987639,0.036696591391872
"92",27,2917,"sampled","portal_plants","2016_summer",FALSE,3999,0.826717129520656,0.850376330052581,0.899604820516861,0.111811720499546,0.0454402534192515
"93",38,10530,"sampled","portal_plants","2017_summer",FALSE,3999,0.868113956739552,0.887129401525635,0.918705292832013,0.095825143370363,0.0331935334474049
"94",14,246,"sampled","portal_plants","2018_summer",FALSE,3998,0.726447116343085,0.75301637686908,0.851160348044915,0.154215319041635,0.0826073930584795
"95",9,677,"sampled","portal_plants","2019_summer",FALSE,3999,0.710884316409218,0.722526652200761,0.844291593148965,0.159009102349443,0.0891301088159371
"96",24,21801,"sampled","portal_plants","1983_winter",FALSE,3998,0.828887277415541,0.846469073030963,0.898919104011519,0.112303238909028,0.0447875468884183
"97",24,16158,"sampled","portal_plants","1985_winter",FALSE,4000,0.813506961648503,0.847088354991107,0.896010463907724,0.113545302636465,0.0457719623269129
"98",25,6833,"sampled","portal_plants","1986_winter",FALSE,4000,0.836714723881061,0.849818770327556,0.900469165284229,0.111656629591687,0.0441590835637926
"99",26,10065,"sampled","portal_plants","1988_winter",FALSE,4000,0.834669702065687,0.854768960510392,0.899177650086314,0.109775608544461,0.0425955742104818
"100",16,451,"sampled","portal_plants","1990_winter",FALSE,3999,0.757725905533736,0.787012666434821,0.863971446939388,0.142458009180787,0.07094758616787
"101",35,1946,"sampled","portal_plants","1991_winter",FALSE,3998,0.849162275542467,0.871249283088178,0.90784145028582,0.10718167408473,0.0411708327903587
"102",30,4775,"sampled","portal_plants","1994_winter",FALSE,3999,0.851019848506115,0.865168472298385,0.909415199605997,0.105111618218691,0.0395138266164581
"103",38,12497,"sampled","portal_plants","1995_winter",FALSE,3997,0.874184483314521,0.88750510255954,0.918904432142529,0.0938008259335255,0.0316309831518661
"104",3,34,"sampled","portal_plants","1996_winter",FALSE,2705,0.480504247717907,0.378730107884024,0.8178641584969,0.18474502555181,0.121897812771274
"105",41,7761,"sampled","portal_plants","1997_winter",FALSE,3998,0.8736635661042,0.894519577281014,0.920250534446929,0.0931760816627873,0.0313598275935796
