"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","misc_abund_short","179_jacknife_1",FALSE,5,419,-99,"10957989",0.229116945107399,0.786248734108763,1410,0.129750814792003,0.679146130101142,0.851817260270852,3999,92.223055763941,91.9729932483121,33.8084521130283,33.8084521130283
"observed","misc_abund_short","179_jacknife_10",FALSE,5,419,-99,"10957989",0.22673031026253,0.795773572705147,1013,0.13329934657066,0.589671745342149,0.846979716494291,3998,93.6468234117059,93.471735867934,37.1935967983992,37.1935967983992
"observed","misc_abund_short","179_jacknife_2",FALSE,5,419,-99,"10957989",0.167064439140811,0.847693738637805,1440,0.130442515163397,0.55190953149018,0.85066012949751,3999,78.494623655914,77.2443110777694,48.8872218054514,48.8872218054514
"observed","misc_abund_short","179_jacknife_3",FALSE,5,419,-99,"10957989",0.183770883054893,0.820851189758541,3669,0.130964722087443,0.659981426431254,0.851803440845021,3999,83.8209552388097,83.0957739434859,41.3603400850213,41.3603400850213
"observed","misc_abund_short","179_jacknife_4",FALSE,5,419,-99,"10957989",0.238663484486873,0.781377597152293,2877,0.130390374184706,0.662049301939754,0.853102413567647,3998,92.7713856928464,92.4462231115558,32.1410705352676,32.1410705352676
"observed","misc_abund_short","179_jacknife_5",FALSE,5,419,-99,"10957989",0.200477326968974,0.823911448017936,199,0.129903854075009,0.521886425976046,0.854062447620662,3998,89.0945472736368,88.544272136068,41.1955977988994,41.1955977988994
"observed","misc_abund_short","179_jacknife_6",FALSE,5,419,-99,"10957989",0.183770883054893,0.827001915906141,413,0.129791397730101,0.587384875291822,0.84489977469855,3999,85.346336584146,84.6211552888222,45.6114028507127,45.6114028507127
"observed","misc_abund_short","179_jacknife_7",FALSE,5,419,-99,"10957989",0.193317422434368,0.847005601902229,2500,0.130098753805396,0.65962328859003,0.853803022143378,3999,86.5966491622906,86.2215553888472,47.9619904976244,47.9619904976244
"observed","misc_abund_short","179_jacknife_8",FALSE,5,419,-99,"10957989",0.174224343675418,0.86676606261945,3130,0.133316742073347,0.566524596337972,0.850379176060668,3999,79.5948987246812,78.8197049262316,54.8887221805451,54.8887221805451
"observed","misc_abund_short","179_jacknife_9",FALSE,5,419,-99,"10957989",0.178997613365155,0.857079192015505,3755,0.13043016152329,0.613760658444956,0.853778038635262,3997,83.2624468351263,82.3117338003503,50.9882411808857,50.9882411808857
"observed","misc_abund_short","518_jacknife_1",FALSE,14,1127,-99,"13423331239056840460",0.182786157941437,0.834592867904362,2231,0.101932315376981,0.868911957213602,0.909424549422914,3999,96.1490372593148,95.9989997499375,22.7306826706677,22.7306826706677
"observed","misc_abund_short","518_jacknife_10",FALSE,14,1127,-99,"13423331239056840460",0.18544809228039,0.835763547082444,2545,0.103284916171368,0.855683678603292,0.901838844361411,3999,96.4491122780695,96.3740935233809,25.9564891222806,25.9564891222806
"observed","misc_abund_short","518_jacknife_2",FALSE,14,1127,-99,"13423331239056840460",0.193433895297249,0.817751001839591,496,0.104221707600813,0.866882684998794,0.90458353565015,3999,96.2740685171293,96.2240560140035,18.529632408102,18.529632408102
"observed","misc_abund_short","518_jacknife_3",FALSE,14,1127,-99,"13423331239056840460",0.189884649511979,0.847277020441223,995,0.104059732768152,0.826621649684529,0.898441020505701,3999,97.0742685671418,96.9742435608902,33.3333333333333,33.3333333333333
"observed","misc_abund_short","518_jacknife_4",FALSE,14,1127,-99,"13423331239056840460",0.181011535048802,0.839416448934823,3251,0.103732676736176,0.861368801522659,0.909518249834927,3999,95.3738434608652,95.2488122030508,26.0315078769692,26.0315078769692
"observed","misc_abund_short","518_jacknife_5",FALSE,14,1127,-99,"13423331239056840460",0.174800354924579,0.857109162253147,1082,0.104391670233441,0.849496588429701,0.896239824818266,3999,95.5988997249312,95.4488622155539,33.6834208552138,33.6834208552138
"observed","misc_abund_short","518_jacknife_6",FALSE,14,1127,-99,"13423331239056840460",0.183673469387755,0.834638009813458,2326,0.104881144864743,0.850344788499884,0.892226037216002,3999,95.7739434858715,95.6739184796199,27.7069267316829,27.7069267316829
"observed","misc_abund_short","518_jacknife_7",FALSE,14,1127,-99,"13423331239056840460",0.173913043478261,0.858243470404391,1678,0.102458178874799,0.858342189452673,0.906202232390801,3999,95.7239309827457,95.5988997249312,30.4576144036009,30.4576144036009
"observed","misc_abund_short","518_jacknife_8",FALSE,14,1127,-99,"13423331239056840460",0.173025732031943,0.850363054069502,176,0.102961188389378,0.868425226498125,0.908697971579429,3999,94.0235058764691,93.9234808702176,26.1315328832208,26.1315328832208
