"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","sim_r2_from_best_median","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1581_jacknife_6",FALSE,12,498,-99,"43207350766106",0.305220883534137,0.709272122063379,2506,0.109495245297268,0.851179229893148,0.899677954523275,3999,99.774943735934,99.774943735934,10.1775443860965,10.1775443860965
"observed","mcdb","1581_jacknife_7",FALSE,12,498,-99,"43207350766106",0.265060240963855,0.756646171045277,2724,0.110261501118251,0.854655116267276,0.901705740322455,3999,99.1747936984246,99.1747936984246,14.2285571392848,14.2285571392848
"observed","mcdb","1581_jacknife_8",FALSE,12,498,-99,"43207350766106",0.28714859437751,0.704806539509537,2253,0.112362427956387,0.853360258664367,0.898748173597125,3999,99.074768692173,99.0497624406102,9.77744436109027,9.77744436109027
"observed","mcdb","1581_jacknife_9",FALSE,12,498,-99,"43207350766106",0.269076305220884,0.746926297600851,1795,0.111529388371189,0.844089593725385,0.891949313301464,3999,99.2998249562391,99.2248062015504,13.4283570892723,13.4283570892723
"observed","mcdb","1619_jacknife_1",FALSE,3,353,-99,"10384",0.172804532577904,0.718640211463178,84,0.135408901148054,-3.77019714665169,0.830275326835757,3344,72.8468899521531,71.6507177033493,33.7021531100478,33.7021531100478
"observed","mcdb","1619_jacknife_10",FALSE,3,353,-99,"10384",0.169971671388102,0.725942618815378,1620,0.134288729656168,-2.87305497415085,0.822137539879475,3315,75.3242835595777,74.1779788838612,32.8808446455505,32.8808446455505
"observed","mcdb","1619_jacknife_2",FALSE,3,353,-99,"10384",0.13314447592068,0.831123493672586,1488,0.135563021570836,-3.02631311486634,0.806225523975999,3323,55.2211856755943,53.8068010833584,55.4619319891664,55.4619319891664
"observed","mcdb","1619_jacknife_3",FALSE,3,353,-99,"10384",0.169971671388102,0.731439745459366,2699,0.134751900324305,-10.7762180162246,0.82791797464226,3315,72.9713423831071,71.9457013574661,35.5052790346908,35.5052790346908
"observed","mcdb","1619_jacknife_4",FALSE,3,353,-99,"10384",0.203966005665722,0.596278845823159,1456,0.133677568890033,-5.21932236784839,0.829919787110154,3300,85.5757575757576,84.7878787878788,25.3636363636364,25.3636363636364
"observed","mcdb","1619_jacknife_5",FALSE,3,353,-99,"10384",0.147308781869688,0.796258763331893,2284,0.133922939723811,-1.47683184317434,0.826223116328266,3337,62.1216661672161,60.6233143542104,44.6808510638298,44.6808510638298
"observed","mcdb","1619_jacknife_6",FALSE,3,353,-99,"10384",0.110481586402266,0.883475063203861,1974,0.135534065665315,-3.02907118146954,0.808564215444269,3336,41.3968824940048,39.8081534772182,67.2362110311751,67.2362110311751
