"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
1984,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.71761930120173,3.12822562248174,0.939598508942923,4,0.297076023391813,42.125,14.7,22.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.52850053330382,3.12580115572714,0.941283813823057,5,0.295906432748538,30.15,14.1,26.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.20779727703438,3.19220848362706,0.948003146267227,9,0.328654970760234,12.25,28.625,50.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.77462699957141,3.23905872897263,0.946175575390719,3,0.308771929824561,45.9,41.5,43.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.73662156358077,3.09364684346206,0.937628672070039,7,0.291228070175439,43.45,10.15,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.90535019351237,3.16885315775497,0.94032078246298,1,0.291228070175439,53.825,22.725,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.26913644944321,3.27036971157741,0.951130262302931,0,0.341520467836257,15.45,51.125,63.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.58774603097731,3.41329511204633,0.957841387093465,0,0.342690058479532,33.925,90.475,88.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.32384907457912,3.38636987678716,0.957083547074313,0,0.350877192982456,18.2,85.15,85.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.54261124488606,3.31835055647891,0.952665093533053,2,0.327485380116959,31.05,67.775,69.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",0.89421068494743,3.38169035761438,0.95898225094901,4,0.375438596491228,3.2,84,91.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",3.12112183974173,3.09320022465985,0.927574296364693,5,0.216374269005848,93.4,10.075,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.59302574843819,3.48498156111319,0.959674429739065,0,0.335672514619883,83.375,98.6,93.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.37390569858559,3.33833265444245,0.949778735337369,0,0.287719298245614,76.45,72.9,57.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.43463036611131,3.29763674159229,0.947650217160836,4,0.283040935672515,78.625,61,49.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.24322185358138,3.39594343977204,0.957822235901645,2,0.36140350877193,14.15,87.525,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.19254595573507,3.11633610853619,0.932638418658733,2,0.261988304093567,69.675,12.625,10.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.33538842437597,3.31175965710831,0.951923668821176,1,0.346198830409357,18.875,65.85,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.16446187387245,3.26256674793548,0.951070072842926,1,0.341520467836257,10.775,48.975,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.17977489323258,3.34082722195531,0.950610444239253,0,0.312280701754386,69.05,73.4,61.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",0.988731858350664,3.36347094993474,0.958005540166205,3,0.36374269005848,5.075,79.825,88.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.23913631103011,3.27722382043604,0.948588625560001,6,0.312280701754386,71.6,53.75,52.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.46398124768539,2.99324575326722,0.923820662768031,4,0.233918128654971,79.675,2.875,4.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.79013461393338,3.28378221060192,0.948624192059095,0,0.316959064327485,46.95,55.8,53.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.520716398801,3.37774454581371,0.956448821859717,3,0.338011695906433,29.675,83.4,83.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.54462808626698,3.42042044148157,0.957573270407989,0,0.347368421052632,31.15,91.8,87.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.19683332557766,3.41301528993117,0.958924797373551,3,0.367251461988304,11.825,90.425,91.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.60119979955207,3.1797206937915,0.936430354639034,1,0.261988304093567,83.65,25.575,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.07739957028658,3.25594471383837,0.950966109230191,2,0.35672514619883,7.625,46.7,62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.73407944397044,3.2635082840256,0.947387572244451,1,0.312280701754386,43.275,49.2,48.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.73388897942301,3.4822589170656,0.961794740261961,0,0.362573099415205,43.2,98.475,97.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.06741500410094,3.46661752396524,0.962656543893848,2,0.377777777777778,7.375,97.4,98.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.67631593437862,3.29367199704772,0.950161759173763,2,0.329824561403509,39.325,59.575,59.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.361167520221,3.29943035276049,0.951748572210253,0,0.346198830409357,20.275,61.55,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.45083022688177,3.32359090440573,0.952911323142163,0,0.334502923976608,25.1,69.325,70.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.66245762915137,3.22101270108335,0.945962176396156,1,0.315789473684211,38.675,36.4,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.76780665867936,3.15772969936778,0.940690126876646,1,0.300584795321637,45.475,20.275,25.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.38885266533664,3.21672506435168,0.94740125166718,3,0.327485380116959,21.725,35.025,48.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.11692697467681,3.17560472708695,0.939278410451079,4,0.280701754385965,65.725,24.675,21.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",1.73240845243555,3.31046424117096,0.951896309975719,5,0.321637426900585,43.1,65.475,66.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",3.10936842858386,3.27204175318604,0.943587428610513,5,0.27719298245614,93.175,51.95,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.37852223596851,3.34674951980992,0.950837522656544,0,0.302923976608187,76.85,75.375,62.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",3.62230887767927,3.33663295974563,0.946038781163435,2,0.299415204678363,97.15,72.4,43.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,"sampled","misc_abund_short","10",FALSE,43,855,"126200986261507706763942175",2.11080260443324,3.30226669629094,0.950213740980131,5,0.304093567251462,65.325,62.425,59.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
