"s0","n0","source","dat","site","singletons","n_comparisons","mean_r2","mean_r2_log","mean_cd","mean_prop_off","mean_div"
32,605,"sampled","bbs","42055",FALSE,3999,0.806023136179924,0.825727048843466,0.888936260063584,0.128867340802143,0.0591358941392302
50,609,"sampled","bbs","42056",FALSE,3999,0.811873471013204,0.822915611166386,0.893975091432644,0.130827452347488,0.0619125937376028
46,564,"sampled","bbs","42057",FALSE,4000,0.80938770210486,0.817998023345912,0.894340608539731,0.131197695035461,0.0623297127391687
34,393,"sampled","bbs","42058",FALSE,3999,0.77352087534764,0.787754967119648,0.879597696004257,0.140313068088905,0.0704891785092683
40,449,"sampled","bbs","42059",FALSE,4000,0.782791772364985,0.80147715119957,0.882484241382029,0.138933741648107,0.0687567706432595
38,535,"sampled","bbs","42060",FALSE,3999,0.792508501944041,0.813637788048655,0.885499196114456,0.134419118798391,0.0642633191963667
41,489,"sampled","bbs","42061",FALSE,3998,0.789897428423118,0.809001696421522,0.885499986207717,0.134838380335362,0.0651024087787826
41,413,"sampled","bbs","42062",FALSE,3997,0.77636259344552,0.801074146608955,0.881860702689287,0.138436151568882,0.0689840744229563
31,295,"sampled","bbs","42101",FALSE,3999,0.757931259091319,0.782232875601635,0.86818385675295,0.146050071839994,0.0760331256980506
38,1031,"sampled","bbs","42104",FALSE,4000,0.830104008454588,0.847976411883246,0.902312655645373,0.117563045586809,0.0495430156863306
33,835,"sampled","bbs","42105",FALSE,4000,0.817146718783892,0.840560930887259,0.896265922337472,0.121154191616766,0.0523022758446043
25,1111,"sampled","bbs","42106",FALSE,3999,0.816136322563653,0.842094743590619,0.894524317583858,0.119371877172714,0.0510036096088608
37,527,"sampled","bbs","42113",FALSE,3999,0.797611804313775,0.814291820452775,0.889498441688769,0.13111674503066,0.0617026505189383
33,323,"sampled","bbs","42119",FALSE,3998,0.753351844010996,0.779719731874927,0.870135829760515,0.146884587804738,0.0768302599383571
42,521,"sampled","bbs","42122",FALSE,3999,0.804121672010246,0.809807834755724,0.889432217425487,0.13383816203571,0.064693576678854
38,581,"sampled","bbs","42124",FALSE,3999,0.805330680833573,0.821369898697484,0.890643819066754,0.128966837234266,0.0599600260550462
52,370,"sampled","bbs","42125",FALSE,3998,0.772930662433631,0.786948329570073,0.881026772035667,0.145410543109393,0.0769548249754219
47,432,"sampled","bbs","42128",FALSE,3998,0.785109128539346,0.796097843373435,0.88413794212389,0.140219994256387,0.0710154971811548
41,493,"sampled","bbs","42137",FALSE,3998,0.792835354239023,0.803226596595782,0.887450205133578,0.13475652633619,0.0657632659238609
43,403,"sampled","bbs","42139",FALSE,3999,0.788211924907585,0.797326255677462,0.884837219417185,0.14004245478243,0.070709304331121
38,339,"sampled","bbs","42140",FALSE,3998,0.758356852312413,0.781054683261785,0.875293516534827,0.145261421271108,0.0759635628877944
18,489,"sampled","bbs","42207",FALSE,3999,0.770825823291323,0.804014411752601,0.872812612001082,0.136271286635565,0.0653147745922222
43,591,"sampled","bbs","42208",FALSE,3999,0.805402119457254,0.81094615092043,0.892961120750543,0.131267165353098,0.062491078702971
36,374,"sampled","bbs","42221",FALSE,4000,0.768307561905541,0.784347205076079,0.878453956711538,0.141291443850267,0.0718394078440094
49,662,"sampled","bbs","42301",FALSE,4000,0.811757404992663,0.82255300216779,0.894821594921968,0.129544939577039,0.0605425520058968
47,533,"sampled","bbs","42302",FALSE,4000,0.807844466645349,0.811138102058401,0.889753547560674,0.133487804878049,0.0646892937717442
38,500,"sampled","bbs","42303",FALSE,4000,0.795272422944875,0.811215027668185,0.88666369100832,0.1341885,0.0645469061994432
53,835,"sampled","bbs","42304",FALSE,3998,0.828295644365132,0.840785314208235,0.902508826648305,0.122510356974895,0.0545292357932219
47,402,"sampled","bbs","42305",FALSE,3999,0.781821127991241,0.787981988181581,0.881632663020403,0.144888212102777,0.0758363825497637
42,365,"sampled","bbs","42307",FALSE,3998,0.778885024798294,0.789418478079281,0.880318347349662,0.144338607659994,0.0743468818532762
49,1043,"sampled","bbs","42309",FALSE,3999,0.838765949610632,0.856041961898218,0.905872929690793,0.115037148548882,0.0481534940313801
31,1010,"sampled","bbs","42311",FALSE,3997,0.824321247782196,0.849645712977238,0.895536920636662,0.118759614265154,0.0503043376325233
57,865,"sampled","bbs","42410",FALSE,4000,0.831941374662779,0.835018130141944,0.901842360962526,0.124868497109827,0.0566546914075804
43,335,"sampled","bbs","42414",FALSE,3998,0.745287337073717,0.766105069325004,0.873430745591034,0.15026991107494,0.0814672260845271
44,389,"sampled","bbs","44001",FALSE,3999,0.775524926955816,0.792727645194935,0.881954578033067,0.141348319084913,0.0718537650064563
54,535,"sampled","bbs","44002",FALSE,3997,0.798001597677214,0.80387336319423,0.891997303652647,0.137385749592568,0.0689805574269542
50,415,"sampled","bbs","44003",FALSE,3999,0.781742799264806,0.785329067065408,0.885992131201219,0.143074322797567,0.0743828505916788
33,311,"sampled","bbs","44004",FALSE,4000,0.746360883418873,0.776520031080502,0.87124705107718,0.144909163987138,0.0757559107644052
45,306,"sampled","bbs","44006",FALSE,4000,0.763284674997433,0.772770488181584,0.873654581980722,0.150222222222222,0.0813523630568976
58,332,"sampled","bbs","44007",FALSE,3999,0.764745636050522,0.780302172417626,0.877608736889572,0.150119608215307,0.083159970244114
59,524,"sampled","bbs","44010",FALSE,3999,0.802958932015591,0.804465950216303,0.8913457176121,0.138167175381632,0.0698839041326627
46,237,"sampled","bbs","44011",FALSE,4000,0.721878438388182,0.752527087931909,0.862766231195285,0.156575949367089,0.0897891306151402
52,534,"sampled","bbs","44012",FALSE,4000,0.798012950363426,0.808571754080792,0.890084664188511,0.136835674157303,0.0678841457409275
60,721,"sampled","bbs","44013",FALSE,3998,0.814263065427358,0.81954725684342,0.899390414816122,0.130295383475372,0.062195859346522
60,596,"sampled","bbs","44014",FALSE,3999,0.820504015530928,0.816593057443208,0.899764185545933,0.131691479916959,0.0634644715361868
52,575,"sampled","bbs","44019",FALSE,3997,0.814338178014884,0.815381963481507,0.895033976783595,0.133211647866335,0.0644756967356675
59,529,"sampled","bbs","44021",FALSE,3999,0.797932629015073,0.806137668177938,0.893302999218198,0.137352863735783,0.0690143996177934
