"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t"
-99,"observed","mcdb","1166_jacknife_8",FALSE,4,85,"4410",0.537447530757988,1.15136650034158,0.625051903114187,0,0,70,55.0574712643678,47.3180076628352,70,47.3180076628352,86.0919540229885,0,0.147509578544061,1,0.142370971377057,0.0352941176470588,0.270588235294118,0.0470588235294118,0.247058823529412,0.364705882352941,0.182097971524628,0.612244897959184,1.5,0.680692041522491,2610,2568,1426,2609,-0.599270532428165,0.743569894387001,0.733647667344919,-0.75,0.74961937716263,0.191463276776566,0.657199669801134,1.35987546568132,1.38552790812517,0.74724371177128,1.1940646313486,0.328214532871972,0.394311418685121,0.737100346020761,0.895226951210111,0.600691337942253,0.989098444896612,0.521980479869866,0.588473837539744,0.534547443745148
-99,"observed","mcdb","1166_jacknife_9",FALSE,5,85,"20282",0.642764691107161,1.17215789906809,0.62477508650519,1,0,68.0144004430906,21.4068125173082,23.1514815840487,68.0144004430906,23.1237884242592,97.0368319025201,77.8731653281639,0.25145389088895,1,0.17288350953785,0.0588235294117647,0.282352941176471,0.0705882352941176,0.270588235294118,0.364705882352941,0.181344584358252,0.566037735849057,2.1466252583998,0.622283737024221,3611,3492,1410,3609,-0.566601821872409,1.04924868666895,1.01418123416742,-1.0733126291999,0.79916955017301,0.436281338008225,0.869488287863635,1.56321202614769,1.60739909868153,0.949743754266223,1.17111776067331,0.437785467128028,0.493702422145329,0.781453287197232,0.752739912203353,0.552268683274021,0.972453787729788,0.490880782918149,0.592360359973718,0.56156209605873
-99,"observed","mcdb","1168_jacknife_1",FALSE,5,29,"333",0.454023241802452,1.33898933719604,0.692033293697979,1,0,52.2522522522522,44.1441441441441,45.045045045045,51.9519519519519,43.8438438438438,81.6816816816817,49.2492492492492,0.732732732732733,2,0.137723930827379,0.0344827586206897,0.3,0.0689655172413793,0.241379310344828,0.396551724137931,0.197208042504428,0.7,2.1466252583998,0.546967895362663,333,330,146,329,-0.616529607911444,1.06455247050815,1.04572010128167,-1.0733126291999,0.799048751486326,0.592402877513887,0.925707182248944,1.57566612492451,1.60697111192979,1.0085256033345,1.0145682344159,0.450178359096314,0.498454221165279,0.787158145065398,0.783127875646424,0.616086956521739,0.987146089979955,0.549565217391304,0.64062615073865,0.589852400553251
-99,"observed","mcdb","1168_jacknife_10",FALSE,6,29,"454",0.112240645531412,1.53479895416916,0.756242568370987,2,0,19.4260485651214,49.4481236203091,56.953642384106,19.205298013245,55.6291390728477,87.6379690949227,67.1081677704194,1.12141280353201,3,0.169977924944812,0.0689655172413793,0.379310344827586,0.0689655172413793,0.344827586206897,0.344827586206897,0.181873664937443,0.642857142857143,2.72165526975909,0.523186682520809,453,445,155,442,-0.507292024168218,1.33610770420309,1.30244853271024,-1.36082763487954,0.832342449464923,0.73718231521576,1.09548312146295,1.74894870509995,1.7886363384233,1.18172841400047,1.05145402320754,0.50986920332937,0.573127229488704,0.81973840665874,0.677308308974221,0.592272727272727,0.97855014820651,0.495454545454545,0.621487548874035,0.577208238332103
-99,"observed","mcdb","1168_jacknife_2",FALSE,6,29,"454",0.46051391904807,1.35385072061144,0.687277051129608,3,0,40.0881057268723,17.1806167400881,23.568281938326,39.8678414096916,22.6872246696035,97.3568281938326,87.6651982378855,1.12334801762115,3,0.191326143095853,0.0689655172413793,0.344827586206897,0.0689655172413793,0.310344827586207,0.379310344827586,0.18307071629748,0.666666666666667,2.72165526975909,0.523186682520809,454,446,155,443,-0.507158218832334,1.3360923997078,1.30235062622112,-1.36082763487954,0.832342449464923,0.73718231521576,1.0957719217852,1.74882935773953,1.7886363384233,1.18177900448878,1.05145402320754,0.510344827586207,0.573127229488704,0.819678953626635,0.677253522523923,0.59125,0.978514175065383,0.495454545454545,0.621099374333204,0.577160123543254
-99,"observed","mcdb","1168_jacknife_3",FALSE,5,29,"333",0.286698854888177,1.37428070725994,0.711058263971463,1,0,38.7387387387387,51.0510510510511,54.6546546546547,38.4384384384384,53.4534534534535,81.6816816816817,49.2492492492492,0.732732732732733,2,0.136377757067412,0.0344827586206897,0.310344827586207,0.0551724137931035,0.275862068965517,0.379310344827586,0.185085168259244,0.714285714285714,2.1466252583998,0.546967895362663,333,330,146,329,-0.616529607911444,1.06455247050815,1.04572010128167,-1.0733126291999,0.799048751486326,0.592402877513887,0.925707182248944,1.57566612492451,1.60697111192979,1.0085256033345,1.0145682344159,0.450178359096314,0.498454221165279,0.787158145065398,0.783127875646424,0.616086956521739,0.987146089979955,0.549565217391304,0.64062615073865,0.589852400553251
-99,"observed","mcdb","1168_jacknife_4",FALSE,6,29,"454",-0.037208938357322,1.55678091088973,0.765755053507729,2,0,12.3348017621145,55.2863436123348,63.6563876651982,12.1145374449339,62.1145374449339,87.6651982378855,66.9603524229075,1.12334801762115,3,0.170439009570105,0.0689655172413793,0.379310344827586,0.0689655172413793,0.344827586206897,0.379310344827586,0.189540991093857,0.714285714285714,2.72165526975909,0.523186682520809,454,446,155,443,-0.507158218832334,1.3360923997078,1.30235062622112,-1.36082763487954,0.832342449464923,0.73718231521576,1.0957719217852,1.74882935773953,1.7886363384233,1.18177900448878,1.05145402320754,0.510344827586207,0.573127229488704,0.819678953626635,0.677253522523923,0.59125,0.978514175065383,0.495454545454545,0.621099374333204,0.577160123543254
-99,"observed","mcdb","1168_jacknife_5",FALSE,4,29,"185",0.210366226846289,1.2307311005551,0.673008323424495,0,0,43.7837837837838,68.1081081081081,64.8648648648649,43.2432432432432,63.7837837837838,64.8648648648649,0,0.427027027027027,2,0.142218080149115,0.0344827586206897,0.344827586206897,0.0344827586206897,0.310344827586207,0.379310344827586,0.185415488976823,0.833333333333333,1.5,0.556480380499406,185,175,126,184,-0.646224464345952,0.75,0.744722738584999,-0.75,0.74910820451843,0.44624376141549,0.707167668592102,1.36629641253792,1.38454943468991,0.79255983180625,0.938305673274423,0.35243757431629,0.402378121284186,0.740546967895363,0.930816309563968,0.697435897435898,0.996481825723333,0.623076923076923,0.702466970753406,0.630913379024754
-99,"observed","mcdb","1168_jacknife_6",FALSE,5,29,"333",0.130449003952926,1.43884234054891,0.739595719381688,1,0,25.5255255255255,68.7687687687688,72.6726726726727,25.2252252252252,70.5705705705706,81.6816816816817,49.2492492492492,0.732732732732733,2,0.166511338925132,0.0344827586206897,0.344827586206897,0.0689655172413793,0.310344827586207,0.344827586206897,0.179869524697111,0.692307692307692,2.1466252583998,0.546967895362663,333,330,146,329,-0.616529607911444,1.06455247050815,1.04572010128167,-1.0733126291999,0.799048751486326,0.592402877513887,0.925707182248944,1.57566612492451,1.60697111192979,1.0085256033345,1.0145682344159,0.450178359096314,0.498454221165279,0.787158145065398,0.783127875646424,0.616086956521739,0.987146089979955,0.549565217391304,0.64062615073865,0.589852400553251
-99,"observed","mcdb","1168_jacknife_7",FALSE,4,29,"185",-0.0314252081849024,1.3106038001061,0.713436385255648,0,0,22.1621621621622,87.027027027027,87.5675675675676,21.6216216216216,86.4864864864865,64.8648648648649,0,0.427027027027027,2,0.190121155638397,0.0344827586206897,0.448275862068966,0.0689655172413793,0.413793103448276,0.374137931034483,0.190404797601199,0.615625,1.5,0.556480380499406,185,175,126,184,-0.646224464345952,0.75,0.744722738584999,-0.75,0.74910820451843,0.44624376141549,0.707167668592102,1.36629641253792,1.38454943468991,0.79255983180625,0.938305673274423,0.35243757431629,0.402378121284186,0.740546967895363,0.930816309563968,0.697435897435898,0.996481825723333,0.623076923076923,0.702466970753406,0.630913379024754
-99,"observed","mcdb","1168_jacknife_8",FALSE,6,29,"454",0.378047558119726,1.49297145886938,0.737217598097503,2,0,34.1409691629956,39.8678414096916,45.5947136563877,33.920704845815,44.4933920704846,87.6651982378855,66.9603524229075,1.12334801762115,3,0.14476682363664,0.0344827586206897,0.310344827586207,0.0689655172413793,0.275862068965517,0.344827586206897,0.178034330852195,0.642857142857143,2.72165526975909,0.523186682520809,454,446,155,443,-0.507158218832334,1.3360923997078,1.30235062622112,-1.36082763487954,0.832342449464923,0.73718231521576,1.0957719217852,1.74882935773953,1.7886363384233,1.18177900448878,1.05145402320754,0.510344827586207,0.573127229488704,0.819678953626635,0.677253522523923,0.59125,0.978514175065383,0.495454545454545,0.621099374333204,0.577160123543254
