"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t"
2503,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.785631595396225,2.11504883558004,0.852907866517523,1,0.114927344782034,37.9,28.975,36.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2504,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.966307817983948,1.98275811722811,0.825311622566308,0,0.190224570673712,50.825,9.425,14.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2505,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.671549561065622,2.16867839199953,0.86331186338341,1,0.0766182298546896,29.15,42.9,50.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2506,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.739597901731974,2.25363685933015,0.875087470704948,0,0.0673712021136063,33.975,68.475,69.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2507,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.421541248169778,2.37136524403973,0.894537814392836,0,0.0924702774108322,13.675,95.4,95.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2508,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.581184099248958,2.37883737417951,0.895389399510339,0,0.0726552179656539,22.5,96.225,95.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2509,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.632805957017867,2.06244016320713,0.849051302768175,0,0.149273447820343,26.4,19,32.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2510,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",1.26623917102608,2.0809531623402,0.832567546579786,0,0.151915455746367,69.35,22.15,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2511,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.810453486987801,2.12439406635361,0.850164645606222,0,0.120211360634082,40.15,31.075,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2512,"sampled","misc_abund_short","22",FALSE,13,757,"19519405997274789",0.946243959573792,2.37071168732804,0.889969269643608,0,0.0568031704095112,49.375,95.375,90.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
