"sim","source","dat","site","singletons","s0","n0","nparts","skew","shannon","simpson","nsingletons","prop_off_actual","mean_po_comparison","n_po_comparisons","skew_percentile","shannon_percentile","simpson_percentile","skew_percentile_excl","simpson_percentile_excl","nsingletons_percentile","nsingletons_percentile_excl","nsingletons_mean","nsingletons_95","nsingeltons_median","mean_prop_off_actual","prop_off_actual_2p5","prop_off_actual_97p5","prop_off_actual_5","prop_off_actual_95","mean_po_comparison_percentile","prop_off_sim_95","mean_prop_off_sim","prop_off_sim_95_1t","skew_range","simpson_range","nsamples","skew_unique","simpson_unique","shannon_unique","skew_2p5","skew_97p5","skew_95","skew_min","simpson_max","shannon_min","shannon_2p5","shannon_97p5","shannon_max","shannon_5","shannon_range","simpson_2p5","simpson_5","simpson_97p5","mean_po_comparison_95","mean_po_comparison_min","mean_po_comparison_max","skew_95_ratio_2t","simpson_95_ratio_2t","skew_95_ratio_1t","simpson_95_ratio_1t","shannon_95_ratio_2t","shannon_95_ratio_1t","mean_po_comparison_95_ratio_1t"
-99,"observed","mcdb","1304",FALSE,5,25,"192",0.549794554791273,1.55603879413766,0.7776,0,0,0.188125,192,56.7708333333333,94.7916666666667,94.2708333333333,55.7291666666667,92.1875,43.75,0,0.854166666666667,3,1,0.188125,0.04,0.4,0.04,0.36,64.0625,0.4,0.199583333333333,0.75,2.1466252583998,0.512,192,149,100,189,-0.597771984799368,1.06430535166029,1.04800784843421,-1.0733126291999,0.8,0.661476977180525,0.942755494141795,1.57962259232044,1.6094379124341,1.02250743630499,0.947960935253575,0.45616,0.50736,0.78792,0.259643979057592,0.135078534031414,0.405235602094241,0.774274564205332,0.64796875,0.988211831260873,0.5715625,0.671828420870833,0.619150488487277,0.461085271317829
-99,"observed","mcdb","1305",FALSE,7,33,"1009",1.30871481000356,1.38114556847018,0.644628099173554,2,0,0.217713747302514,997,83.851554663992,8.2246740220662,7.72316950852558,83.7512537612838,7.62286860581745,79.6389167502508,57.8736208625878,1.41123370110331,4,1,0.217713747302514,0.0606060606060606,0.393939393939394,0.0909090909090909,0.363636363636364,85.0551654964895,0.333333333333333,0.185076899649764,0.588235294117647,3.23969548293623,0.530762167125804,997,976,214,954,-0.460465801038566,1.5723970573253,1.52255561241547,-1.61984774146812,0.855831037649219,0.799913762008393,1.22549247632559,1.89312784138335,1.94116505541158,1.31100795913813,1.14125129340319,0.567309458218549,0.618549127640037,0.84297520661157,0.258920530607278,0.132286722648168,0.454484605087015,0.62748578348525,0.519377162629758,0.96996874256698,0.447058823529412,0.585002942749693,0.55216331400102,0.393031161473088
-99,"observed","mcdb","1306",FALSE,7,27,"364",0.965879325012428,1.51352641904257,0.713305898491084,3,0,0.17012617012617,364,66.4835164835165,17.8571428571429,19.7802197802198,66.2087912087912,18.956043956044,87.9120879120879,70.3296703296703,1.75274725274725,4,2,0.17012617012617,0.037037037037037,0.333333333333333,0.0740740740740741,0.296296296296296,44.5054945054945,0.333333333333333,0.177960927960928,0.727272727272727,3.23969548293623,0.469135802469136,364,359,111,350,-0.487459799057121,1.57985936605015,1.54041007865565,-1.61984774146812,0.8559670781893,0.927874969997222,1.25618450307708,1.90028813047534,1.9415071796013,1.33910865314358,1.01363220960408,0.573593964334705,0.617695473251029,0.844787379972565,0.259560248954188,0.131211100908071,0.418732782369146,0.638121445671676,0.578070175438597,0.975479898271034,0.507894736842105,0.635441160309862,0.594296945923823,0.446398154719659
-99,"observed","mcdb","1307",FALSE,11,2313,"33250558521711700447",0.0914182397437534,2.08335752161514,0.862813223777558,0,0,0.152334630350195,1000,5.225,63,77.725,5.225,77.725,95.25,0,0.04975,0,0,0.149892131431042,0.0626891482922611,0.310873324686554,0.0691742325983571,0.273692174664937,65.875,0.269844357976654,0.149319579807197,0.510777058279371,3.32323131898282,0.414505953212065,4000,4000,3977,4000,-0.0685840846387531,2.03746082634964,1.88647654911941,-0.931616304332686,0.898967825794878,1.16025656605983,1.67281006768705,2.25183447399121,2.34228015330074,1.74870431263265,1.18202358724091,0.726023804997749,0.757182873396089,0.883968056637337,0.208198119325551,0.10813878080415,0.429204496325119,0.633734070498893,0.3810421790463,0.847997801824599,0.342057698568809,0.48985858874079,0.502169201253945,0.311647534085171
-99,"observed","mcdb","1308",FALSE,10,1065,"1548449100377887",1.38175834385025,1.57632806791078,0.715371288765457,0,0,0.234010328638498,1000,82.5,2.55,3.575,82.5,3.575,91.35,0,0.09125,1,0,0.233698122065728,0.0910798122065728,0.375610328638498,0.110798122065728,0.35868544600939,96.725,0.287417840375587,0.15449261376377,0.600217391304348,3.73029405630977,0.425753267649717,4000,4000,3902,4000,-0.136536989136692,1.95823647748939,1.80250895637289,-1.49442385048192,0.897218805792501,1.05531835669122,1.57435165662696,2.16963462161293,2.28819667881215,1.64001418048625,1.23287832212093,0.700727192576429,0.728904935087835,0.875321166435231,0.218057652582159,0.111276995305164,0.415601877934272,0.561557194957,0.410082522261338,0.883826517986716,0.395331952785256,0.482839996701299,0.525747339940918,0.350877182156454
-99,"observed","mcdb","1309",FALSE,9,868,"24895636595773",0.99804443732736,1.49815153753808,0.713202658795048,1,0,0.23190668202765,1000,68.65,3.4,5.925,68.65,5.925,99.5,93.125,0.07375,1,0,0.232859158986175,0.0956221198156682,0.372148617511521,0.119815668202765,0.352534562211982,96.15,0.294930875576037,0.159684043778802,0.574572127139364,2.81192539216746,0.466940262056956,4000,4000,3869,4000,-0.164952101848389,1.82968371189875,1.6836604959623,-0.761349735954078,0.88008876807747,0.979320338013846,1.46106006879792,2.07417383205988,2.1580212405324,1.53768164860431,1.17870090251856,0.671257552188409,0.705500753891567,0.86395840854552,0.221792396313364,0.112191244239631,0.440952764976959,0.70934876839305,0.412688457209128,0.869514617538176,0.373897965912838,0.520160595407961,0.52629092809092,0.333375851979044
-99,"observed","mcdb","1310",FALSE,4,44,"632",0.155339666941819,0.967586262322999,0.565082644628099,1,0,0.180125342169716,631,40.4120443740095,19.0174326465927,25.5150554675119,40.2535657686212,25.1980982567353,96.6719492868463,75.594294770206,0.27892234548336,1,0,0.180125342169716,0.0454545454545455,0.340909090909091,0.0568181818181818,0.318181818181818,55.9429477020602,0.340909090909091,0.180953753061519,0.538461538461538,1.5,0.619834710743801,631,457,352,631,-0.630694705366531,0.747338264528491,0.739195448980573,-0.75,0.75,0.323815662671065,0.668971465828575,1.3650447822548,1.38629436111989,0.767643838849331,1.06247869844883,0.335485537190083,0.398243801652893,0.738894628099174,0.27202380952381,0.133730158730159,0.423701298701299,0.918688646596681,0.650833333333333,0.992796965987049,0.5675,0.655140961830543,0.58227098874901,0.476922119930331
-99,"observed","mcdb","1311",FALSE,3,59,"290",0.317006241259849,1.01594587284924,0.609020396437805,0,0,0.155347749853887,290,63.7931034482759,78.9655172413793,77.2413793103448,63.448275862069,76.8965517241379,90,0,0.103448275862069,1,0,0.155347749853887,0.0338983050847458,0.372881355932203,0.0338983050847458,0.338983050847458,28.6206896551724,0.406779661016949,0.191854990583804,0.741935483870968,0.769800358919505,0.600402183280667,290,276,265,290,-0.384900179459751,0.38490017945975,0.38490017945975,-0.384900179459755,0.66647515081873,0.171538761421493,0.394817297171754,1.09038520259159,1.09832334990026,0.483131755831698,0.926784588478769,0.187431772479173,0.243292157426027,0.66117494972709,0.270550114362794,0.134068383086036,0.364787988974254,0.999999999999995,0.789043062200957,1,0.704832535885168,0.750517341426174,0.663791350995967,0.591548042704626
-99,"observed","mcdb","1312",FALSE,3,38,"120",-0.207826562129517,0.779068081031225,0.508310249307479,1,0,0.169956140350877,120,20.8333333333333,28.3333333333333,38.3333333333333,20,36.6666666666667,99.1666666666667,85,0.158333333333333,1,0,0.169956140350877,0.0263157894736842,0.316447368421052,0.0526315789473684,0.29078947368421,47.5,0.396052631578947,0.168201754385965,0.7025,0.769800358919502,0.565096952908587,120,112,111,120,-0.38490017945975,0.384900179459751,0.384900179459751,-0.38490017945975,0.666204986149584,0.242673481189018,0.409114376495244,1.08988172285897,1.09791344679333,0.505834960596134,0.855239965604316,0.193871191135734,0.271052631578947,0.660734072022161,0.273695267580716,0.134453781512605,0.352277753206546,0.999999999999999,0.826164215686275,0.999999999999999,0.699264705882353,0.795995713182898,0.692295156925735,0.639238578680203
