"rank","abund","site","dat","singletons","sim","source"
3,1,"13017000028","fia_small",FALSE,-99,"observed"
4,1,"13017000028","fia_small",FALSE,-99,"observed"
1,1,"13017000035","fia_small",FALSE,-99,"observed"
2,1,"13017000035","fia_small",FALSE,-99,"observed"
3,1,"13017000035","fia_small",FALSE,-99,"observed"
1,1,"13017000039","fia_small",FALSE,-99,"observed"
1,1,"13017000043","fia_small",FALSE,-99,"observed"
2,1,"13017000043","fia_small",FALSE,-99,"observed"
3,1,"13017000043","fia_small",FALSE,-99,"observed"
1,1,"13017000046","fia_small",FALSE,-99,"observed"
2,1,"13017000046","fia_small",FALSE,-99,"observed"
1,1,"13021000023","fia_small",FALSE,-99,"observed"
2,1,"13021000023","fia_small",FALSE,-99,"observed"
3,1,"13021000023","fia_small",FALSE,-99,"observed"
1,1,"13021000065","fia_small",FALSE,-99,"observed"
2,1,"13021000065","fia_small",FALSE,-99,"observed"
3,1,"13021000065","fia_small",FALSE,-99,"observed"
4,1,"13021000065","fia_small",FALSE,-99,"observed"
5,1,"13021000065","fia_small",FALSE,-99,"observed"
6,1,"13021000065","fia_small",FALSE,-99,"observed"
7,1,"13021000065","fia_small",FALSE,-99,"observed"
1,1,"13021000079","fia_small",FALSE,-99,"observed"
2,1,"13021000079","fia_small",FALSE,-99,"observed"
1,1,"13031000046","fia_small",FALSE,-99,"observed"
2,1,"13031000046","fia_small",FALSE,-99,"observed"
1,1,"13031000066","fia_small",FALSE,-99,"observed"
2,1,"13031000066","fia_small",FALSE,-99,"observed"
3,1,"13031000066","fia_small",FALSE,-99,"observed"
4,1,"13031000066","fia_small",FALSE,-99,"observed"
1,1,"13031000067","fia_small",FALSE,-99,"observed"
2,1,"13031000067","fia_small",FALSE,-99,"observed"
1,1,"13031000082","fia_small",FALSE,-99,"observed"
2,1,"13031000082","fia_small",FALSE,-99,"observed"
3,1,"13031000082","fia_small",FALSE,-99,"observed"
4,1,"13031000082","fia_small",FALSE,-99,"observed"
5,1,"13031000082","fia_small",FALSE,-99,"observed"
6,1,"13031000082","fia_small",FALSE,-99,"observed"
7,1,"13031000082","fia_small",FALSE,-99,"observed"
1,1,"13031000083","fia_small",FALSE,-99,"observed"
1,1,"13041000029","fia_small",FALSE,-99,"observed"
2,1,"13041000029","fia_small",FALSE,-99,"observed"
1,1,"13041000030","fia_small",FALSE,-99,"observed"
2,1,"13041000030","fia_small",FALSE,-99,"observed"
1,1,"13041000041","fia_small",FALSE,-99,"observed"
1,1,"13041000051","fia_small",FALSE,-99,"observed"
2,1,"13041000051","fia_small",FALSE,-99,"observed"
1,1,"13041000063","fia_small",FALSE,-99,"observed"
2,1,"13041000063","fia_small",FALSE,-99,"observed"
1,1,"13045000013","fia_small",FALSE,-99,"observed"
1,1,"13045000037","fia_small",FALSE,-99,"observed"
2,1,"13045000037","fia_small",FALSE,-99,"observed"
1,1,"13045000060","fia_small",FALSE,-99,"observed"
2,1,"13045000060","fia_small",FALSE,-99,"observed"
3,1,"13045000060","fia_small",FALSE,-99,"observed"
4,1,"13045000060","fia_small",FALSE,-99,"observed"
5,1,"13045000060","fia_small",FALSE,-99,"observed"
1,1,"13045000068","fia_small",FALSE,-99,"observed"
2,1,"13045000068","fia_small",FALSE,-99,"observed"
3,1,"13045000068","fia_small",FALSE,-99,"observed"
4,1,"13045000068","fia_small",FALSE,-99,"observed"
5,1,"13045000068","fia_small",FALSE,-99,"observed"
6,1,"13045000068","fia_small",FALSE,-99,"observed"
1,1,"13047000004","fia_small",FALSE,-99,"observed"
1,1,"13047000033","fia_small",FALSE,-99,"observed"
1,1,"13047000040","fia_small",FALSE,-99,"observed"
2,1,"13047000040","fia_small",FALSE,-99,"observed"
1,1,"13047000043","fia_small",FALSE,-99,"observed"
2,1,"13047000043","fia_small",FALSE,-99,"observed"
1,1,"13047000056","fia_small",FALSE,-99,"observed"
2,1,"13047000056","fia_small",FALSE,-99,"observed"
1,1,"13047000060","fia_small",FALSE,-99,"observed"
2,1,"13047000060","fia_small",FALSE,-99,"observed"
