"source","dat","site","singletons","s0","n0","sim","nparts","real_po","real_r2","best_po_sim","sim_pos_from_best","sim_r2_from_best","ncomparisons","real_po_percentile","real_po_percentile_excl","real_r2_percentile","real_r2_percentile_excl"
"observed","mcdb","1532",TRUE,4,6,-99,"2",0,1,-99,0.166666666666667,-1,1,0,0,100,100
"observed","mcdb","1533",TRUE,17,17,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1534",TRUE,1,6,-99,"1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"observed","mcdb","1535",TRUE,4,18,-99,"47",0.0555555555555556,0.939393939393939,8,0.136473429951691,-0.248465907532964,46,19.5652173913043,0,93.4782608695652,89.1304347826087
"observed","mcdb","1536",TRUE,10,13,-99,"3",0,1,-99,0.0384615384615385,0.523809523809524,2,50,0,100,50
"observed","mcdb","1537",TRUE,2,12,-99,"6",0.166666666666667,-3,3,0.15,-Inf,5,80,40,40,20
"observed","mcdb","1538",TRUE,12,27,-99,"172",0.148148148148148,0.759656652360515,50,0.120424518085337,0.524268370840643,171,81.8713450292398,61.9883040935673,44.4444444444444,43.859649122807
"observed","mcdb","1539",TRUE,9,390,-99,"47828785471",0.0923076923076923,0.92814863531733,2077,0.116080302126814,0.802017971145912,3999,35.8089522380595,32.483120780195,71.8679669917479,71.8679669917479
"observed","mcdb","1540",TRUE,4,10,-99,"9",0.2,0.647058823529412,8,0.1375,0.396118043176867,8,87.5,75,62.5,50
"observed","mcdb","1549",TRUE,5,121,-99,"80631",0.107438016528926,0.76464148877942,1461,0.131784734453326,0.554412577845153,3904,45.9016393442623,38.9088114754098,29.7899590163934,29.7899590163934
"observed","mcdb","1550",TRUE,12,154,-99,"325772294",0.116883116883117,0.833539757245479,1249,0.124492162001539,0.814556613457666,3999,56.0890222555639,48.9122280570143,35.233808452113,35.233808452113
"observed","mcdb","1553",TRUE,5,79,-99,"15257",0.30379746835443,0.675172066476414,2937,0.131549613832063,0.578077337122677,3509,97.6346537475064,97.2641778284412,21.7155884867484,21.7155884867484
"observed","mcdb","1554",TRUE,10,264,-99,"8306768300",0.272727272727273,0.660476718403548,2078,0.117464972303682,0.81242864834507,3999,98.7246811702926,98.6746686671668,11.2528132033008,11.2528132033008
"observed","mcdb","1556",TRUE,7,18,-99,"49",0.277777777777778,0.593856655290102,23,0.128472222222222,0.381749323262664,48,97.9166666666667,95.8333333333333,31.25,29.1666666666667
"observed","mcdb","1557",TRUE,4,13,-99,"18",0.0769230769230769,0.903614457831325,7,0.135746606334842,-0.196756603819636,17,47.0588235294118,0,94.1176470588235,82.3529411764706
"observed","mcdb","1558",TRUE,4,19,-99,"54",0.210526315789474,0.762803234501348,35,0.134061569016882,-0.0486600418089007,53,92.4528301886792,83.0188679245283,45.2830188679245,43.3962264150943
